reference,prediction
Could diatomic hydrogen also be formed by an ionic bond?,"According to the paragraph, what condition regarding electronegativity must be met for an ionic H-H bond to be possible?"
Why does a positive kJ result end up with energy leaving a system?,"According to the paragraph, what does a positive thetaHf value indicate about energy and the bonding of atoms?"
How can the oxygen being oxidised?,"According to the paragraph, what happens to oxygen's oxidation number during oxidation?"
Would the entire ecosystem collapse?,"According to the paragraph, what determines whether the collapse of a species could lead to ecosystem collapse?"
Why the HIV virus is coming out of the immune cell?,"According to the paragraph, which specific type of cells does the HIV virus target?"
"Human evolve from apes, so if one mated with a human?","According to the paragraph, what is one reason why mating a human with an ape might not be possible?"
Why doesn't carbon form any ionic bond?,"According to the paragraph, why is forming ionic bonds unfavorable for carbon molecules?"
"Didn't the H+ get randomly picked up by the OH and then later the OH group attached to Carbon gave up its hydrogen to H2O, making it H3O+?","According to the paragraph, what happens to H+ ions in water that leads to the formation of hydronium?"
Does the Calvin cycle happen after the light-dependent reactions occurs or is the Calvin cycle independent?,"According to the paragraph, how is the Calvin cycle dependent on the light-dependent reactions?"
How do the contracting and expanding muscles gets oxygen?,"What does the heart ensure the body receives, in addition to nutrients, that relates to the topic of oxygen?"
Does the body extract the oxygen from the carbon dioxide?,"According to the paragraph, is there more oxygen or carbondioxide in the air?"
Does the oxygen bonded with another oxygen don't count as another oxidation state?,"In hydrogen peroxide, what is the oxidation number of oxygen and why?"
Why are hydrogen bonds called weak bonds?,"According to the paragraph, what two factors contribute to hydrogen's role in the formation of hydrogen bonds?"
Doesn't that violate Markovnikov's rule that the more substituted C will bond with the more substituted reactant?,"According to the modern statement of Markovnikov's rule described in the paragraph, what determines which carbon atom the more positive part of an unsymmetrical reagent will add to when reacting with an unsymmetrical alkene?"
How would oxygen share the electrons with the two hydrogens?,"According to the paragraph, what type of charge does the oxygen atom have?"
"Does the electron go into an energy level 1/100000 higher, or where does the extra energy go?","According to the paragraph, how do collisions between atoms or molecules affect the motions of electrons?"
Why would osmosis be a form of Passive Transport?,"According to the paragraph, what characteristic of osmosis makes it a form of passive transport?"
How is water supposed to evaporate at 25 degrees Celsius?,"According to the paragraph, how does temperature influence the state of matter?"
Whats causes a molecule to have potential energy?,"According to the paragraph, from what does potential energy come?"
"Why does a paperclip that is able to sink below the surface, go down to the bottom?","According to the paragraph, what causes the paper clip to sink once it is underneath the surface of the water?"
Does anaerobic respiration contribute to metabolic rate?,"According to the paragraph, when does anaerobic respiration become more prominent in animals?"
How would people know if it is redox or a regular one?,"According to the paragraph, what is one indicator that a chemical reaction may be a redox reaction?"
Does the co-repressor unbind itself from the repressor?,"According to the paragraph, how does the amount of tryptophan present affect the likelihood of it binding to the tryptophan repressor?"
Is it possible for the inhibitor to later separate or unbind?,"According to the paragraph, what distinguishes irreversible inhibitors from inhibitors in non-competitive inhibition?"
How the exact length of DNA molecules can be determined when it is moving?,How do scientists use a DNA ladder in gel electrophoresis?
Is a non spontaneous reaction always a reverse reaction?,"According to the paragraph, how can the spontaneity of a reaction be determined?"
How carbohydrates fit into the fluid mosaic molecule and what do they look like?,"According to the paragraph, what are the two major functions of carbohydrates in the cell membrane?"
What happens to the water at the bottom of the container?,"According to the paragraph, what causes the surface of water to be more dense?"
What stop the salt bridge from itself building up charge?,"Regarding a salt bridge, what describes the movement of ions within the solution?"
Do the proteins have a chance of going into the cell?,"According to the paragraph, what are three ways that transmembrane proteins can be restricted in their movement?"
How does the rock effect the community?,How are rocks indirectly related to the formation of landforms?
"Does that mean that oxygen is the oxidation agent, and hydrogen would be the reduction agent?","In a redox reaction, what is the relationship between an oxidising agent and the other reactant?"
Don't they also have to travel through the same capillaries?,"What are the three types of capillaries in our body, and how do their permeability levels compare?"
How to identify nucleophiles or electrophiles?,"According to the paragraph, how can an atom become an electrophile?"
Are the anode rays only nuclei?,"According to the paragraph, what were anode rays originally thought to consist of?"
Don't a voltage source and a current source both supply a current and voltage in a circuit?,What determines the amount of current a constant voltage source generates in a circuit?
How do ketones have a stronger dipole moment than aldehydes?,"According to the paragraph, why might aldehydes have lower dipole moments than ketones with similar molecular weights?"
"How does oxygen get dissolved in water,which supports marine life?",What happens to oxygen molecules when oxygen dissolves in water?
How plants respond to nature?,"According to the paragraph, how do animals help plants?"
Why is habituation considered as a learned behavior?,"According to the text, what two elements combine in the learning process of imprinting?"
What happen if the repressor stops functioning?,"According to the paragraph, what is the consequence of a mutation in the repressor gene on the repressor protein's function?"
Why is it that animal-based foods are more energy dense than the plants we eat?,"According to the paragraph, what happens to energy density as total energy decreases, and what factor contributes to this difference?"
"How does the hydrogen bond in it conform to their definition of van dear Waals forces, which don't involve covalent bonds?","According to the paragraph, what kind of bond connects oxygen to hydrogen in a water molecule?"
Will electrons always start with same number of protons?,"According to the paragraph, what is the relationship between the number of protons in an atom and its charge?"
And why do we need Plasmid?,"According to the paragraph, what role does a plasmid play for Bacteria?"
How does caring if it`s a polar or non-polar covalent bond help us?,"According to the paragraph, why don't water and oil dissolve in each other?"
Is the bacterias native plasmid kicked out or do they become neighbors?,"According to the paragraph, what is one advantage of using vector plasmids related to the overall size of DNA in the host?"
Would we divide the electrons equally between same atoms?,"According to the paragraph, how are electrons assigned in a bond between two atoms of the same element when determining oxidation state?"
Why do the voltages have to add to zero when we end up back at the same voltage?,"According to the paragraph, what happens to voltage when people hike up a mountain?"
What force brings these two elements together?,"Regarding a chemical element, what happens to its charge when it loses an electron?"
Does the fly still develop halteres that help it to balance?,"According to the paragraph, what happens to halteres when ultrabithorax is inactivated?"
Could people get rich changing a lead atom into a gold or silver atom and then selling it for money?,"According to the paragraph, what is involved in the transmutation of atoms?"
What is the reason for the formation of polyatomic ions?,"According to the paragraph, what causes a polyatomic ion to have a negative charge?"
"Human evolve from apes, so if one mated with a human?","According to the text, what happened to the species of ape that humans and chimpanzees evolved from?"
Why does the Hydrogen choose to bond with another hydrogen in the final step instead of to sodium?,"According to the paragraph, what does hydrogen react with after gaining an electron from sodium?"
How to compare the electronegativity?,"According to the paragraph, what is the trend of electronegativity on the periodic table and which element has the highest electronegativity?"
Would diffusion take place at all?,"According to the paragraph, how does absolute zero affect diffusion?"
Do plants respond to night light with no heat?,"According to the paragraph, what are three basic responses or reactions that plants have to light?"
Can't we just reuse the already existing energy? Why can't you turn heat into energy?,"According to the paragraph, what is required to get useful work from a system of energy?"
How do you tell acidic salt and a normal salt apart?,What type of salt is produced by a weak acid?
How is acetyl chloride formed?,"Based on the paragraph, what characteristic of the products allows a concomitant reaction to be set up in the same apparatus as acetyl chloride?"
How to know it is not there without fulfilling the octet rule?,"According to the paragraph, how many lone pairs will oxygen have in a stable compound?"
Why does Bohr model work?,"What are some limitations of the Bohr model, specifically regarding its applicability to different atoms?"
Why pH 7 is chosen as neutral?,"According to the paragraph, what does pH measure?"
How do the birds survive while trees release carbon dioxide during the night?,"According to the paragraph, what are two reasons birds do not require as much rest as humans?"
"Why would an electron fall back to any energy level other than the n=1, since there are no other electrons stopping it from falling there?","According to the paragraph, what happens to an electron that drops to an intermediate energy level that is not n=1?"
How does the atom bomb fall into that every element is made up of unique atoms?,"According to the paragraph, what elements are used in atom bombs because of their high energy output in fission?"
Why oxygen atoms in the molecular formula of water has 4 more atoms that can be used for other bonds?,How many valence electrons does oxygen have in lone pairs within a water molecule?
"Weaker the acid, stronger the conjugate base?","According to the passage, how does the behavior of the conjugate base of a strong acid differ from that of the conjugate base of a moderately weak acid in water?"
Why cant oxygen atom do this inspite o is more electronegative than c and h?,"Relating to electronegativity, what can be said about oxygen compared to carbon and hydrogen?"
Do  isotopes ever lose the extra neutron(s) or gain new ones?,"According to the paragraph, in what ways do isotopes of an element form?"
Why are the elements in group 2 not stable with 2 valence electrons?,"According to the paragraph, what is one reason why some chemical elements do not follow the octet rule?"
Does size have any impact on the size of the plasmid that needs to be used?,"Regarding plasmids, what size insert can a typical plasmid accommodate?"
How is resonance decreasing reactivity?,"According to the paragraph, how does resonance affect the reactivity of a molecule?"
Why the oxygen acquires a positive charge when it bounds to a hydrogen?,"According to the paragraph, what is a hydrogen ion the same as?"
"Are endocytosis and exocytosis forms of bulk transport, or are they active transport?",Why is endocytosis classified as active transport?
Does Methionine go to E-site(exit) or does it remove after the polypeptides are formed?,"Following polypeptide creation, what are the two mechanisms described for Methionine cleavage?"
How does Ruminococcus get in the cow's gut to begin with?,"According to the paragraph, how might Ruminococcus get into a cow's gut?"
Why do blood go to the heart if they need oxygen?,"According to the paragraph, where does the blood go to get oxygenated?"
