reference,prediction
What makes the carbon dioxide go into the alveoli and the oxygen go into the capillary?,"According to the paragraph, how does the level of PCO2 in the blood compare to the level of PCO2 in the alveoli?"
Is neutron only the proton which gets kicked out?,"In what form can a neutron escape the nucleus, according to the paragraph?"
Someone pl meiosis and mitosis with respect to X chromosome?,"According to the paragraph, what is one key difference in the outcome of meiosis compared to mitosis regarding sex chromosomes in a male?"
What is that extra H+ doing there on the head of water?,"According to the paragraph, what role does H+ play in both glycosidic bond formation and water molecule creation during condensation?"
"Do cells 'hunt' for bacterium, or it's an occasion?","According to the paragraph, what draws immune cells to bacteria?"
Could diatomic hydrogen also be formed by an ionic bond?,"According to the paragraph, what condition regarding electronegativity must be met for an ionic H-H bond to be possible?"
Why does a positive kJ result end up with energy leaving a system?,"According to the paragraph, what does a positive thetaHf value indicate about the energy required for atoms to bond?"
How can the oxygen being oxidised?,"According to the paragraph, what happens to oxygen's oxidation number during oxidation?"
Would the entire ecosystem collapse?,"According to the paragraph, what factor determines whether the collapse of a species will lead to ecosystem collapse?"
Why the HIV virus is coming out of the immune cell?,"According to the paragraph, what type of cells does the HIV virus target?"
"Human evolve from apes, so if one mated with a human?","According to the paragraph, why is it more accurate to say that apes and humans share a common ancestor instead of saying that humans evolved from apes?"
Why doesn't carbon form any ionic bond?,"According to the paragraph, why is ionic bonding unfavorable for carbon molecules?"
"Didn't the H+ get randomly picked up by the OH and then later the OH group attached to Carbon gave up its hydrogen to H2O, making it H3O+?","According to the paragraph, what happens to H+ ions in water that leads to the formation of hydronium?"
Does the Calvin cycle happen after the light-dependent reactions occurs or is the Calvin cycle independent?,"According to the paragraph, how does the Calvin cycle relate to the light-dependent reactions?"
How do the contracting and expanding muscles gets oxygen?,"What does the heart provide to the body, in addition to nutrients, that is essential for its function?"
Does the body extract the oxygen from the carbon dioxide?,"According to the paragraph, how does the amount of oxygen compare to the amount of carbondioxide?"
Does the oxygen bonded with another oxygen don't count as another oxidation state?,"In hydrogen peroxide (H-O-O-H), what is the oxidation number of oxygen, and what part of the molecule allows us to determine this?"
Why are hydrogen bonds called weak bonds?,"According to the paragraph, what two factors contribute to hydrogen bonds being weak attractions?"
Doesn't that violate Markovnikov's rule that the more substituted C will bond with the more substituted reactant?,"According to the modern statement of Markovnikov's rule, what determines where the more positive part of an unsymmetrical reagent adds to an unsymmetrical alkene?"
How would oxygen share the electrons with the two hydrogens?,What type of charge does the oxygen atom have?
"Does the electron go into an energy level 1/100000 higher, or where does the extra energy go?","According to the paragraph, how do collisions between atoms or molecules affect the electrons within them?"
Why would osmosis be a form of Passive Transport?,"According to the text, how does osmosis relate to passive transport?"
How is water supposed to evaporate at 25 degrees Celsius?,"According to the paragraph, how does an increase in temperature affect the state of matter?"
Whats causes a molecule to have potential energy?,"According to the paragraph, from what does potential energy come?"
"Why does a paperclip that is able to sink below the surface, go down to the bottom?","According to the paragraph, why does the paper clip sink once underneath the surface of the water?"
Does anaerobic respiration contribute to metabolic rate?,"According to the paragraph, when does anaerobic respiration become more prominent in animals?"
How would people know if it is redox or a regular one?,"According to the paragraph, what is one indicator that a chemical reaction might be a redox reaction?"
Does the co-repressor unbind itself from the repressor?,"According to the paragraph, how does the amount of tryptophan present affect the ability of the tryptophan repressor to inhibit transcription?"
Is it possible for the inhibitor to later separate or unbind?,"Regarding enzyme inhibitors, what distinguishes irreversible inhibitors from those involved in non-competitive inhibition according to the paragraph?"
How the exact length of DNA molecules can be determined when it is moving?,"According to the paragraph, how does a DNA ladder help scientists after gel electrophoresis?"
Is a non spontaneous reaction always a reverse reaction?,"According to the paragraph, how does the sign of dG0 relate to the spontaneity of a reaction?"
How carbohydrates fit into the fluid mosaic molecule and what do they look like?,"According to the paragraph, what are two major functions of carbohydrates when they are attached to proteins and lipids?"
What happens to the water at the bottom of the container?,"According to the paragraph, what causes the surface of the water to be more dense?"
What stop the salt bridge from itself building up charge?,"Regarding salt bridges, what can the ions do in the solution?"
Do the proteins have a chance of going into the cell?,"According to the text, what are some ways that transmembrane proteins can be anchored?"
How does the rock effect the community?,"How are rocks indirectly related to the ecosystem according to the paragraph, and how might this relate to the impact of rock music on culture?"
"Does that mean that oxygen is the oxidation agent, and hydrogen would be the reduction agent?","In a redox reaction, what is the relationship between an oxidising agent and the other reactant?"
Don't they also have to travel through the same capillaries?,"According to the paragraph, how do the three types of capillaries differ in permeability?"
How to identify nucleophiles or electrophiles?,"According to the paragraph, how does electronegativity relate to an atom becoming an electrophile?"
Are the anode rays only nuclei?,"According to the paragraph, what are anode rays thought to consist of?"
Don't a voltage source and a current source both supply a current and voltage in a circuit?,"According to the paragraph, what does a voltage source provide to a circuit to maintain a constant voltage?"
How do ketones have a stronger dipole moment than aldehydes?,"According to the paragraph, what gains less electron density compared to the oxygen atom in a carbonyl group of a ketone?"
"How does oxygen get dissolved in water,which supports marine life?","In what form does oxygen exist when it dissolves in water, according to the text?"
How plants respond to nature?,"According to the paragraph, how do animals help plants?"
Why is habituation considered as a learned behavior?,"According to the paragraph, what is an example of learning in ducks?"
What happen if the repressor stops functioning?,"According to the paragraph, what is produced from transcription of the ""repressor gene"" that relates to the repressor?"
Why is it that animal-based foods are more energy dense than the plants we eat?,"According to the paragraph, what happens to energy density as total energy decreases, and what explains this difference?"
"How does the hydrogen bond in it conform to their definition of van dear Waals forces, which don't involve covalent bonds?","According to the paragraph, what type of bond connects the oxygen to each hydrogen in a water molecule?"
Will electrons always start with same number of protons?,"According to the paragraph, what is the relationship between the number of protons and electrons in an atom?"
And why do we need Plasmid?,"According to the paragraph, what role does a plasmid play in bacteria?"
How does caring if it`s a polar or non-polar covalent bond help us?,"According to the text, how does chemical polarity affect the ability of water and oil to dissolve in each other?"
Is the bacterias native plasmid kicked out or do they become neighbors?,"According to the paragraph, what is one characteristic of vector plasmids that makes them suitable for use in gene transfer?"
Would we divide the electrons equally between same atoms?,"According to the paragraph, how are electrons assigned in a C-C bond when determining oxidation state?"
Why do the voltages have to add to zero when we end up back at the same voltage?,"According to the paragraph, how is voltage similar to elevation on a mountain?"
What force brings these two elements together?,What happens to the charge of a chemical element when it gains an electron?
Does the fly still develop halteres that help it to balance?,"According to the paragraph, what happens to halteres when ultrabithorax is inactivated?"
Could people get rich changing a lead atom into a gold or silver atom and then selling it for money?,"According to the paragraph, what is involved in the transmutation of atoms?"
What is the reason for the formation of polyatomic ions?,"According to the paragraph, why does a polyatomic ion have a total charge?"
"Human evolve from apes, so if one mated with a human?","According to the paragraph, what happened to the species of ape that humans and chimpanzees evolved from?"
Why does the Hydrogen choose to bond with another hydrogen in the final step instead of to sodium?,"According to the paragraph, what does hydrogen react with after accepting sodium's electron?"
How to compare the electronegativity?,"According to the paragraph, what is the trend of electronegativity on the periodic table and which element has the highest electronegativity?"
Would diffusion take place at all?,"According to the paragraph, how does absolute zero affect diffusion?"
Do plants respond to night light with no heat?,"According to the paragraph, how do animals help plants?"
Can't we just reuse the already existing energy? Why can't you turn heat into energy?,"According to the paragraph, what is required to get useful work from a system of energy?"
How do you tell acidic salt and a normal salt apart?,What kind of salt is produced by a weak acid?
How is acetyl chloride formed?,"According to the paragraph, what property should a product have to be suitable for a reaction involving acetyl chloride?"
How to know it is not there without fulfilling the octet rule?,"According to the paragraph, how many lone pairs will oxygen have in a stable compound that follows the octet rule?"
Why does Bohr model work?,"Why does the paragraph state that the Bohr model works ""somewhat"" for hydrogen?"
Why pH 7 is chosen as neutral?,"According to the paragraph, what does pH measure?"
How do the birds survive while trees release carbon dioxide during the night?,"According to the text, what are two reasons why birds do not need as much oxygen daily as humans?"
"Why would an electron fall back to any energy level other than the n=1, since there are no other electrons stopping it from falling there?","According to the paragraph, what happens to an electron when it drops to an intermediate energy level that is not n=1?"
How does the atom bomb fall into that every element is made up of unique atoms?,"According to the paragraph, what is the key difference in the process and magnitude of energy released between an atom bomb and a hydrogen bomb?"
Why oxygen atoms in the molecular formula of water has 4 more atoms that can be used for other bonds?,How many valence electrons does oxygen have in lone pairs within a water molecule?
"Weaker the acid, stronger the conjugate base?","According to the paragraph, how does the behavior of a conjugate base of a moderately weak acid differ from the conjugate base of a strong acid in water?"
Why cant oxygen atom do this inspite o is more electronegative than c and h?,"Considering electronegativity, what does oxygen do to bonding electrons compared to carbon and hydrogen?"
Do  isotopes ever lose the extra neutron(s) or gain new ones?,"According to the paragraph, in what ways do isotopes of an element form?"
Why are the elements in group 2 not stable with 2 valence electrons?,"According to the text, what is one reason why some chemical elements, such as hydrogen, do not follow the octet rule?"
Does size have any impact on the size of the plasmid that needs to be used?,"Regarding plasmids, what size insert can a typical plasmid accommodate?"
How is resonance decreasing reactivity?,"According to the provided text, how does increased stability due to resonance affect a molecule's reactivity?"
Why the oxygen acquires a positive charge when it bounds to a hydrogen?,"According to the paragraph, what is a hydrogen ion the same as?"
"Are endocytosis and exocytosis forms of bulk transport, or are they active transport?",Why are endocytosis and exocytosis classified as active transport?
Does Methionine go to E-site(exit) or does it remove after the polypeptides are formed?,"Following polypeptide synthesis, what are the two mechanisms for Methionine cleavage?"
How does Ruminococcus get in the cow's gut to begin with?,"According to the paragraph, how might the Ruminococcus get into a cow?"
Why do blood go to the heart if they need oxygen?,"According to the paragraph, which part of the heart does blood go to after it is oxygenated in the lungs?"
